iter	Passed	Remaining
403	10039	14810
404	10066	14788
405	10093	14767
406	10121	14746
407	10144	14719
408	10168	14693
409	10193	14668
410	10219	14645
411	10242	14618
412	10265	14589
413	10292	14568
414	10315	14541
415	10338	14513
416	10361	14486
417	10383	14457
418	10405	14429
419	10433	14407
420	10458	14383
421	10483	14359
422	10508	14334
423	10533	14310
424	10559	14286
425	10585	14263
426	10611	14239
427	10641	14221
428	10667	14197
429	10690	14170
430	10712	14143
431	10737	14117
432	10767	14099
433	10798	14082
434	10838	14077
435	10870	14061
436	10898	14040
437	10923	14016
438	10947	13990
439	10970	13962
440	10998	13941
441	11024	13918
442	11051	13895
443	11087	13884
444	11123	13872
445	11157	13859
446	11180	13831
447	11205	13807
448	11233	13785
449	11258	13760
450	11289	13742
451	11320	13725
452	11351	13706
453	11377	13682
454	11401	13657
455	11424	13629
456	11447	13601
457	11469	13573
458	11491	13545
459	11516	13519
460	11540	13493
461	11561	13463
462	11583	13434
463	11604	13405
464	11627	13377
465	11647	13347
466	11670	13319
467	11691	13290
468	11715	13264
469	11739	13237
470	11764	13213
471	11787	13185
472	11810	13158
473	11833	13131
474	11857	13105
475	11879	13077
476	11902	13049
477	11923	13021
478	11947	12995
479	11970	12968
480	11993	12940
481	12013	12910
482	12035	12882
483	12056	12854
484	12077	12824
485	12099	12796
486	12122	12769
487	12183	12782
488	12217	12767
489	12249	12749
490	12273	12723
491	12295	12695
492	12321	12671
493	12344	12644
494	12372	12622
495	12397	12597
496	12420	12570
497	12441	12541
498	12462	12512
499	12484	12484
500	12506	12456
501	12527	12427
502	12549	12399
503	12571	12372
504	12595	12346
505	12617	12318
506	12638	12289
507	12660	12261
508	12680	12232
509	12700	12202
510	12721	12173
511	12741	12144
512	12764	12117
513	12790	12093
514	12819	12073
515	12848	12051
516	12872	12025
517	12894	11998
518	12915	11969
519	12936	11941
520	12956	11912
521	12976	11882
522	12996	11853
523	13018	11825
524	13042	11799
525	13063	11772
526	13085	11744
527	13106	11716
528	13128	11689
529	13150	11662
530	13172	11634
531	13193	11606
532	13215	11578
533	13238	11552
534	13260	11525
535	13281	11497
536	13303	11470
537	13325	11443
538	13346	11415
539	13367	11387
540	13388	11358
541	13408	11330
542	13429	11302
543	13452	11276
544	13475	11250
545	13499	11224
546	13520	11196
547	13541	11169
548	13562	11141
549	13584	11114
550	13605	11086
551	13626	11059
552	13648	11032
553	13671	11006
554	13694	10980
555	13715	10952
556	13737	10925
557	13758	10898
558	13779	10870
559	13801	10843
560	13822	10816
561	13843	10789
562	13865	10762
563	13889	10736
564	13914	10712
565	13938	10687
566	13962	10663
567	13986	10637
568	14007	10610
569	14028	10582
570	14049	10555
571	14070	10528
572	14092	10501
573	14115	10475
574	14137	10449
575	14160	10424
576	14182	10397
577	14202	10369
578	14223	10342
579	14244	10315
580	14266	10288
581	14287	10261
582	14308	10234
583	14332	10209
584	14354	10183
585	14379	10158
586	14402	10133
587	14426	10108
588	14450	10083
589	14472	10056
590	14494	10030
591	14517	10005
592	14540	9979
593	14565	9955
594	14591	9932
595	14615	9906
596	14638	9881
597	14661	9856
598	14682	9828
599	14702	9801
600	14723	9775
601	14743	9747
602	14764	9720
603	14786	9694
604	14811	9670
605	14834	9644
606	14856	9618
607	14877	9591
608	14896	9564
609	14917	9537
610	14937	9510
611	14957	9482
612	14977	9455
613	14998	9428
614	15022	9404
615	15044	9378
616	15065	9351
617	15087	9325
618	15109	9300
619	15131	9273
620	15152	9247
621	15174	9221
622	15196	9195
623	15219	9170
624	15243	9145
625	15265	9120
626	15287	9094
627	15309	9068
628	15333	9044
629	15355	9018
630	15377	8992
631	15398	8966
632	15419	8940
633	15442	8914
634	15464	8889
635	15486	8863
636	15510	8838
637	15531	8812
638	15554	8787
639	15575	8761
640	15597	8735
641	15618	8709
642	15639	8683
643	15661	8657
644	15684	8632
645	15707	8607
646	15728	8581
647	15750	8555
648	15774	8531
649	15796	8505
650	15817	8479
651	15838	8453
652	15860	8428
653	15884	8403
654	15908	8379
655	15931	8354
656	15953	8328
657	15975	8303
658	15996	8277
659	16017	8251
660	16038	8225
661	16060	8200
662	16082	8174
663	16104	8149
664	16128	8124
665	16151	8100
666	16173	8074
667	16194	8048
668	16215	8022
669	16235	7996
670	16256	7970
671	16277	7944
672	16297	7918
673	16319	7893
674	16342	7868
675	16366	7844
676	16387	7818
677	16408	7793
678	16429	7767
679	16452	7742
680	16472	7716
681	16494	7691
682	16515	7665
683	16538	7640
684	16611	7638
685	16642	7617
686	16670	7594
687	16693	7570
688	16714	7544
689	16736	7519
690	16760	7494
691	16787	7471
692	16809	7446
693	16832	7421
694	16855	7396
695	16876	7371
696	16896	7345
697	16916	7319
698	16937	7293
699	16958	7267
700	16977	7241
701	16999	7216
702	17020	7190
703	17042	7165
704	17064	7140
705	17085	7114
706	17108	7090
707	17131	7065
708	17153	7040
709	17174	7015
710	17195	6989
711	17217	6964
712	17240	6939
713	17264	6915
714	17285	6890
715	17308	6865
716	17333	6841
717	17354	6816
718	17376	6791
719	17397	6765
720	17418	6740
721	17440	6715
722	17463	6690
723	17486	6666
724	17507	6640
725	17529	6616
726	17550	6590
727	17571	6565
728	17593	6540
729	17614	6514
730	17636	6489
731	17658	6465
732	17683	6441
733	17707	6417
734	17729	6392
735	17750	6367
736	17770	6341
737	17791	6316
738	17814	6291
739	17835	6266
740	17857	6241
741	17879	6216
742	17902	6192
743	17925	6167
744	17948	6143
745	17971	6118
746	17992	6093
747	18014	6069
748	18036	6044
749	18057	6019
750	18079	5994
751	18101	5969
752	18124	5945
753	18148	5921
754	18169	5896
755	18191	5871
756	18212	5846
757	18233	5821
758	18254	5796
759	18276	5771
760	18297	5746
761	18320	5722
762	18345	5698
763	18369	5674
764	18391	5649
765	18412	5624
766	18433	5599
767	18454	5574
768	18476	5550
769	18496	5525
770	18518	5500
771	18542	5476
772	18564	5451
773	18586	5427
774	18607	5402
775	18629	5377
776	18651	5353
777	18673	5328
778	18694	5303
779	18714	5278
780	18734	5253
781	18754	5228
782	18779	5204
783	18804	5180
784	18838	5159
785	18860	5135
786	18883	5110
787	18906	5086
788	18929	5062
789	18950	5037
790	18971	5012
791	18995	4988
792	19019	4964
793	19045	4941
794	19070	4917
795	19093	4893
796	19116	4869
797	19140	4845
798	19164	4821
799	19188	4797
800	19211	4772
801	19233	4748
802	19258	4724
803	19279	4700
804	19300	4675
805	19322	4650
806	19344	4626
807	19367	4602
808	19388	4577
809	19409	4552
810	19431	4528
811	19456	4504
812	19478	4480
813	19500	4455
814	19521	4431
815	19542	4406
816	19564	4382
817	19585	4357
818	19608	4333
819	19629	4309
820	19652	4284
821	19675	4260
822	19698	4236
823	19721	4212
824	19742	4187
825	19763	4163
826	19784	4138
827	19804	4114
828	19826	4089
829	19848	4065
830	19871	4041
831	19892	4016
832	19916	3992
833	19939	3968
834	19961	3944
835	19981	3919
836	20004	3895
837	20024	3871
838	20046	3846
839	20069	3822
840	20092	3798
841	20165	3784
842	20201	3762
843	20223	3737
844	20244	3713
845	20267	3689
846	20290	3665
847	20312	3640
848	20336	3617
849	20358	3592
850	20382	3568
851	20404	3544
852	20428	3520
853	20451	3496
854	20473	3472
855	20494	3447
856	20519	3423
857	20542	3399
858	20564	3375
859	20586	3351
860	20608	3327
861	20631	3302
862	20652	3278
863	20673	3254
864	20694	3229
865	20715	3205
866	20736	3181
867	20758	3156
868	20779	3132
869	20804	3108
870	20826	3084
871	20849	3060
872	20873	3036
873	20894	3012
874	20916	2988
875	20937	2963
876	20959	2939
877	20982	2915
